lon	lat	depth
-124.441218	42.146625	-20.914126
-124.435174	42.146635	-21.028322
-124.429130	42.146645	-21.146704
-124.423086	42.146654	-21.265117
-124.417041	42.146663	-21.383474
-124.410997	42.146672	-21.485268
-124.404953	42.146680	-21.587081
-124.398909	42.146688	-21.688918
-124.392864	42.146696	-21.790031
-124.386820	42.146703	-21.885534
-124.380776	42.146710	-21.981072
-124.374731	42.146717	-22.076140
-124.368687	42.146723	-22.170817
-124.362643	42.146729	-22.269744
-124.683015	42.150462	-17.422143
-124.676971	42.150485	-17.510099
-124.670926	42.150507	-17.591555
-124.664882	42.150529	-17.669944
-124.658837	42.150551	-17.748352
-124.652793	42.150572	-17.823261
-124.646749	42.150593	-17.889520
-124.640704	42.150614	-17.955790
-124.634660	42.150634	-18.020085
-124.628615	42.150654	-18.070647
-124.622571	42.150674	-18.121214
-124.616526	42.150694	-18.171788
-124.610482	42.150713	-18.204622
-124.604437	42.150732	-18.241675
-124.598393	42.150750	-18.278734
-124.592348	42.150768	-18.307080
-124.586303	42.150786	-18.328113
-124.580259	42.150804	-18.368815
-124.574214	42.150821	-18.408066
-124.568170	42.150838	-18.443255
-124.562125	42.150855	-18.478445
-124.556081	42.150871	-18.536352
-124.550036	42.150887	-18.606191
-124.543991	42.150902	-18.676215
-124.537947	42.150918	-18.746241
-124.531902	42.150933	-18.847160
-124.525858	42.150948	-18.957305
-124.519813	42.150962	-19.067460
-124.513768	42.150976	-19.196248
-124.507724	42.150990	-19.337551
-124.501679	42.151003	-19.478871
-124.495634	42.151016	-19.626719
-124.489590	42.151029	-19.809236
-124.483545	42.151041	-19.945209
-124.477500	42.151054	-20.081198
-124.471456	42.151065	-20.243477
-124.465411	42.151077	-20.409153
-124.459366	42.151088	-20.531257
-124.453322	42.151099	-20.663133
-124.447277	42.151110	-20.801127
-124.441232	42.151120	-20.939161
-124.435188	42.151130	-21.051387
-124.429143	42.151139	-21.167763
-124.423098	42.151149	-21.284169
-124.417054	42.151158	-21.400514
-124.411009	42.151166	-21.499955
-124.404964	42.151174	-21.599416
-124.398919	42.151182	-21.698901
-124.392875	42.151190	-21.797585
-124.386830	42.151198	-21.890751
-124.380785	42.151205	-21.983953
-124.374741	42.151211	-22.076630
-124.368696	42.151218	-22.168871
